BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,2003,1.0,3,99433,0.359559,1.0,0.0,0.0,4897760.0,76.90000153,34.14,0.34,0.0,0.0,0.35955869781662025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6404413021833798,0.0
NonResidential,Other,NORTHEAST,1941,1.0,4,56521,0.0,1.0,0.0,0.0,6357632.0,129.6999969,44.32,0.78,0.8669344137577184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Other,NORTHEAST,1929,1.0,2,206934,0.0,0.470452,0.529548,0.0,4253577.5,35.70000076,133.58,0.65,0.5757681193037394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,NORTHWEST,2001,1.0,4,51390,0.0,0.387173,0.612827,0.0,3611538.0,70.30000305,127.29,2.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPS-District K-12,K-12 School,NORTHWEST,1959,1.0,1,245587,0.0,0.333683,0.666317,0.0,11765682.0,47.90000153,443.73,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,NORTHWEST,2002,1.0,3,69138,0.0,0.556025,0.443974,0.0,3242458.0,45.90000153,89.02,1.29,0.0,0.0,0.0,1.0212762880037027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1904,1.0,5,190980,0.0,0.676747,0.323253,0.0,6505995.0,34.09999847,142.39,0.75,0.0,0.0,0.09975390093203476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,DOWNTOWN,1998,1.0,6,284100,0.0,0.669537,0.036017,0.294446,14641502.0,77.19999695,429.12,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678986272439282
NonResidential,Hospital,BALLARD,1954,4.0,5,285333,0.0,0.517504,0.482496,0.0,68090728.0,225.0,1990.5,6.98,0.0,0.0,0.5217237403314724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0607290429077605
Nonresidential COS,Other,DOWNTOWN,2006,1.0,4,61156,0.0,0.741962,0.258038,0.0,9363374.0,130.1000061,176.75,2.89,0.6991137419059454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47777814114723005,0.0
NonResidential,Other,DOWNTOWN,1910,1.0,4,72820,0.189783,0.652424,0.347576,0.0,2010454.625,34.70000076,46.26,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7964844822850865
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,0.087534,0.528185,0.471815,0.0,7946961.0,69.90000153,228.4,1.41,0.0,0.0,0.20152630346068967,0.700903699868082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,University,EAST,1915,1.0,3,63330,0.0,0.62458,0.37542,0.0,3059758.0,47.20000076,74.33,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0235275540817939
Campus,University,DELRIDGE,1970,27.0,2,441071,0.0,0.660925,0.339075,0.0,38301744.0,79.30000305,866.23,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095061792772592
NonResidential,Small- and Mid-Sized Office,NORTHEAST,2002,1.0,2,96300,0.0,0.85624,0.14376,0.0,16319835.0,167.8000031,222.02,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584631360332295,0.05133956386292835
Nonresidential COS,Other,GREATER DUWAMISH,1950,1.0,1,67356,0.0,0.559422,0.440578,0.0,7475577.5,109.4000015,204.08,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014891026783063
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1958,1.0,1,54765,0.0,0.839179,0.160821,0.0,4253369.5,83.80000305,61.21,1.12,0.45649593718615905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704647128640555,0.0
NonResidential,Other,GREATER DUWAMISH,2009,1.0,5,89821,0.0,0.034594,0.965406,0.0,1950092.5,21.89999962,100.46,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4223733870698389,0.5684862114650249
NonResidential,University,MAGNOLIA / QUEEN ANNE,1980,1.0,2,52611,0.0,0.602223,0.397777,0.0,4116871.5,78.30000305,104.26,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,2001,1.0,4,139600,0.268625,0.520682,0.479318,0.0,4448582.5,32.79999924,129.39,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707736389684813
