BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Other,47.61103,-122.33238,1914,1.0,7,128766,0.0,0.946386,0.053614,0.0,6057410.0,47.0,57.21,0.44
NonResidential,Residence Hall,47.6079,-122.33266,1913,1.0,9,107572,0.0,0.447924,0.0,0.552076,5572503.0,54.79999924,254.87,2.37
NonResidential,Other,47.60699,-122.33481,1955,1.0,15,230880,0.0,1.0,0.0,0.0,62197176.0,306.3999939,433.6,1.88
NonResidential,Other,47.63965,-122.3783,1973,1.0,1,76086,0.0,0.47845,0.52155,0.0,3267564.0,42.0,101.41,1.33
NonResidential,Medical Office,47.61972,-122.36033,1927,1.0,5,190000,0.205263,0.652435,0.347565,0.0,28731502.0,183.5,661.04,3.48
NonResidential,Hotel,47.6124,-122.35075,1961,1.0,4,122309,0.0,0.248394,0.751606,0.0,25453690.0,208.1000061,1060.13,8.67
Campus,Other,47.61137,-122.34947,1995,4.0,3,215476,0.0,0.57411,0.425889,0.0,24017770.0,110.5999985,639.39,2.97
NonResidential,Hotel,47.61069,-122.34653,2003,1.0,8,254273,0.152592,0.516277,0.483723,0.0,26659244.0,96.19999695,780.84,3.07
Nonresidential COS,Other,47.60729,-122.34211,1980,1.0,2,69400,0.0,0.710175,0.289824,0.0,14833476.0,213.6999969,301.76,4.35
NonResidential,Mixed Use Property,47.6041,-122.33958,1900,1.0,1,62900,0.0,0.364423,0.635577,0.0,10394330.0,158.3000031,377.27,6.0
NonResidential,Small- and Mid-Sized Office,47.60271,-122.33557,1914,1.0,4,56500,0.0,0.643002,0.0,0.356998,1380293.625,34.5,44.22,0.78
NonResidential,Warehouse,47.59486,-122.32455,2008,1.0,4,203504,0.0,1.0,0.0,0.0,3785282.5,18.60000038,26.39,0.13
NonResidential,Large Office,47.61757,-122.35122,1968,0.0,3,100734,0.265362,1.0,0.0,0.0,9788717.0,97.19999695,68.24,0.68
NonResidential,Small- and Mid-Sized Office,47.61703,-122.35012,1981,1.0,4,77662,0.238263,0.855953,0.144046,0.0,5007401.0,80.59999847,68.19,0.88
NonResidential,Large Office,47.61619,-122.34599,1978,1.0,12,234000,0.09312,0.977737,0.022262,0.0,18661606.0,89.40000153,149.27,0.64
NonResidential,Large Office,47.61217,-122.33694,1989,1.0,25,369996,0.0,1.0,0.0,0.0,24755086.0,64.5,172.58,0.47
NonResidential,Retail Store,47.61229,-122.33629,1925,1.0,10,693450,0.0,0.935955,0.063515,0.00053,40062888.0,57.79999924,398.19,0.57
NonResidential,Large Office,47.61316,-122.3343,1976,1.0,33,791396,0.0,0.999801,0.013177,0.0,40847752.0,60.29999924,313.3,0.4
NonResidential,Large Office,47.61399,-122.33523,2000,1.0,23,747747,0.274259,0.899905,0.100095,0.0,30985420.0,56.20000076,359.11,0.48
NonResidential,Small- and Mid-Sized Office,47.61356,-122.33665,1926,1.0,10,63409,0.122333,0.394233,0.0,0.605767,3444270.0,66.90000153,170.51,2.69
NonResidential,Large Office,47.61375,-122.33566,1930,1.0,17,204790,0.146492,0.870328,0.129672,0.0,7739699.0,44.5,100.26,0.49
NonResidential,Small- and Mid-Sized Office,47.61256,-122.33808,1916,1.0,5,73399,0.0,1.0,0.0,0.0,3757006.0,61.09999847,26.19,0.36
NonResidential,Large Office,47.61391,-122.33725,1969,1.0,20,265851,0.121625,0.551102,0.0,0.448898,14633233.0,64.59999847,563.25,2.12
NonResidential,Large Office,47.61578,-122.33726,2009,1.0,25,758043,0.301656,0.967193,0.032807,0.0,27018020.0,46.40000153,229.25,0.3
NonResidential,Large Office,47.61641,-122.34112,1968,1.0,12,206000,0.0,0.730487,0.0,0.269513,8580279.0,53.29999924,222.19,1.08
NonResidential,Large Office,47.61555,-122.33582,2009,1.0,36,824887,0.187871,1.0,0.0,0.0,39523852.0,53.20000076,275.54,0.33
NonResidential,Large Office,47.61516,-122.33303,1990,1.0,16,480840,0.294485,0.992515,0.007484,0.0,17867002.0,52.70000076,130.73,0.27
NonResidential,Small- and Mid-Sized Office,47.60266,-122.33332,1900,1.0,7,89550,0.0,0.910744,0.0,0.089255,3903259.75,47.70000076,51.67,0.58
NonResidential,Small- and Mid-Sized Office,47.60219,-122.33347,1900,1.0,6,89355,0.0,0.985249,0.014751,0.0,4178233.5,46.79999924,31.97,0.36
NonResidential,Large Office,47.6036,-122.33288,1922,1.0,15,388934,0.0,0.935816,0.0,0.064184,18576900.0,47.79999924,213.23,0.55
NonResidential,Large Office,47.60403,-122.33497,1929,1.0,22,384302,0.0,1.0,0.0,0.0,10062436.0,28.39999962,70.15,0.18
